,ciudad
0,caucete
1,chimbas 
2,concepcion 
3,dos asequias
4,jachal
5,las casuarinas
6,pocitos
7,rawson
8,rawson 
9,rivadavia
10,san juan
11,san juan 
12,villa nicanor larain
13,villa santa anita 
