,nombre,direccion,ciudad,provincia,ci
37,IGLESIA EVANGELICA ASAMBLEA DE DIOS EN SAN JUAN - FILIAL 36,RIOJA S/N° NOMENC.CATASTRAL 1362/250700 VILLA SANTA ISABEL,CAUCETE ,San Juan,597.0
38,MISION CRISTIANA EN GENERAL LAMADRID - FILIAL 4,CORONEL DUPUY Nª 63,CAUCETE ,San Juan,912.0
39,"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 2",HIPOLITO IRIGOYEN 1359 - B° GÚEMES,CHIMBAS,San Juan,4032.0
40,ASAMBLEA CRISTIANA APOSTOLICA PROFETICA - FILIAL 16,AV. BENAVIDEZ 6211 VILLA OBRERA,CHIMBAS,San Juan,1051.0
41,ASOCIACION ESCUELA CIENTIFICA BASILIO - CULTO A DIOS- CONFESION RELIG. D L. DISCIPULOS DE JESUS - FILIAL 228,YAPEYU 1695 - NORTE,CHIMBAS,San Juan,658.0
42,CONVENCION EVANGELICA BAUTISTA ARGENTINA - FILIAL 708,CALLEJON PRADO 535,CHIMBAS,San Juan,672.0
43,FEDERACION ASAMBLEA CRISTIANA - FILIAL 391,Remedios E. de San Martín 6773,CHIMBAS,San Juan,64.0
44,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS - FILIAL 223,Av. Benavidez 5000,CHIMBAS,San Juan,607.0
45,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS - FILIAL 87,NECOCHEA 1554,CHIMBAS,San Juan,607.0
46,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS - FILIAL 88,Patagonia 455,CHIMBAS,San Juan,607.0
47,IGLESIA EVANGELICA ASAMBLEA DE DIOS DE SAN JUAN - FILIAL 49,BENAVIDEZ 5611 OESTE BARRIO LOS PINOS,CHIMBAS,San Juan,597.0
48,IGLESIA EVANGELICA ASAMBLEA DE DIOS EN SAN JUAN - FILIAL 21,PATAGONIA 6060 VILLA EL SALVADOR,CHIMBAS,San Juan,597.0
49,IGLESIA EVANGELICA ASAMBLEA DE DIOS EN SAN JUAN - FILIAL 27,BENAVIDEZ 4882 OESTE,CHIMBAS,San Juan,597.0
50,IGLESIA GNOSTICA CRISTIANA ARGENTINA - FILIAL 29,CARRERITO 346 VILLA OBRERA,CHIMBAS,San Juan,1533.0
51,IGLESIA NUEVA APOSTOLICA (SUD AMERICA) - FILIAL 270,CALLE 25 DE MAYO 1170,CHIMBAS,San Juan,4.0
52,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 365,MARUCHO S/N° LOTE 4 MANZ. 22 PARC. 0832-550230,CHIMBAS,San Juan,14.0
53,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 762,25 DE MAYO PROLONGACION RIOJA S/N°,CHIMBAS,San Juan,14.0
54,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 898,RODRIGUEZ 824,CHIMBAS,San Juan,14.0
55,ASOCIACION DE IGLESIA EVANGELICA PENTECOSTAL DE LA ARGENTINA - FILIAL 72,RIVADAVIA 765 BARRIO SAN ISIDRO,CHIMBAS ,San Juan,168.0
56,ASOCIACION IGLESIA EVANGELICA DEL NAZARENO EN ARGENTINA - FILIAL 82,25 DE MAYO 1755 OESTE,CHIMBAS ,San Juan,283.0
57,DELEGACION ARGENTINA CENTRAL DE LA IGLESIA ADVENTISTA DEL 7º DIA - FILIAL 233,GOBERNADOR ROJAS 948 B° SARMIENTO,CHIMBAS ,San Juan,5.0
58,FEDERACION ASAMBLEA CRISTIANA - FILIAL 392,Callejón Barboza s/Nº,CHIMBAS ,San Juan,64.0
59,IGLESIA PENTECOSTAL CONCILIO LATINOAMERICANO DE NEW YORK EN LA R.A. - FILIAL 26,SARMIENTO 5605 VILLA SARMIENTO,CHIMBAS ,San Juan,2306.0
60,IGLESIA PENTECOSTAL CONCILIO LATINOAMERICANO DE NEW YORK EN LA R.A. - FILIAL 27,RAMON GODOY 819,CHIMBAS ,San Juan,2306.0
61,IGLESIA PENTECOSTAL CONCILIO LATINOAMERICANO DE NEW YORK EN LA R.A. - FILIAL 28,13 DE JUNIO S/N° BARRIO M. L. MORENO,CHIMBAS ,San Juan,2306.0
62,IGLESIA PENTECOSTAL CONCILIO LATINOAMERICANO DE NEW YORK EN LA R.A. - FILIAL 30,LOTE HOGAR 38 M. E C4,CHIMBAS ,San Juan,2306.0
