,ciudad,poblacion
0,Aimogasta,12249
1,Chamical,12919
2,Chepes,11039
3,Chilecito,33724
4,Famatina,2466
5,Guandacol,2525
6,La Rioja,178872
7,Milagro,3494
8,Nonogasta,6937
9,Olta,4547
10,Salicas (- San Blas),3918
11,Ulapes,3205
12,Vichigasta,3016
13,Villa Sanagasta,2275
14,Villa San José de Vinchina,2401
15,Villa Unión,4931
