,ciudades,poblacion
0,ADAGALALA,12600
1,BELEN,12256
2,CATAMARCA,159139
3,CHUMBICHA,4531
4,FIAMABLÁ,4693
5,HUILLAPIMA,2416
6,ICAÑO,2104
7,LONDRES,2456
8,LOS ALTOS,4490
9,POMÁN,2856
10,RECREO,11847
11,SAN ISIDRO,25674
12,SAN JOSÉ,10000
13,SANTA MARIA,11648
14,SAUJIL,2368
15,TINOGASTA,11000
