,nombre,direccion,ciudad,provincia,ci
41,MINISTERIO ESPIRITU SANTO,AUGUSTO TAPIA 720- B° GRAL. PAZ,CATAMARCA,Catamarca,4455.0
42,TEMPLO FILADELFIA IGLESIA EVANGELICA ASAMBLEA DE DIOS - FILIAL 15,HIPOLITO YRIGOYEN 1785,CATAMARCA,Catamarca,1099.0
43,UNION DE LAS ASAMBLEAS DE DIOS - FILIAL 790,25 DE MAYO S/N° LOTE 95 SECC. L PARC. 13 20,CATAMARCA,Catamarca,14.0
44,FEDERACION ASAMBLEA CRISTIANA - FILIAL 113,Felipe Varela S/Nº - Bº San Martín,CHUMBICHA,Catamarca,64.0
45,IGLESIA INTERNACIONAL DEL EVANGELIO CUADRANGULAR - FILIAL 315,SAN MARTIN 514,CHUMBICHA,Catamarca,1088.0
46,Ministerio Espiritu Santo,"Calle: Augusto Tapia N° 720, Barrio General Paz",Catamarca ,Catamarca,4455.0
47,MINISTERIO CRISTIANO EVANGELICO PODER Y POTENCIA DE DIOS,LA ALUMBRERA NC. 3115,DISTRITO ACONQUIJA-DEPARTAMENTO ANDALGALA,Catamarca,3564.0
48,ASOCIACION DE LA IGLESIA DE DIOS EN LA ARGENTINA - FILIAL 356,PADRON 3136 - LA TOMA,DPTO. BELEN,Catamarca,15.0
49,FEDERACION ASAMBLEA CRISTIANA - FILIAL 114,Casa de Familia Espeche,ESQUIU,Catamarca,64.0
50,FEDERACION ASAMBLEA CRISTIANA,Pasaje Comun y Miguel Soria,El Mistol,Catamarca,64.0
51,Federación Asamblea Cristiana - Filial,Pasaje Comun y Miguel Soria - EL MISTOL,El Mistol ,Catamarca,64.0
52,IGLESIA BAUTISTA DE ROSARIO DE LERMA - FILIAL 1,BARRIO PAMPA BLANCA,FIAMBALA,Catamarca,197.0
53,IGLESIA EVANGELICA ESTRELLA DE ORIENTE - FILIAL 25,PARCELA 8151 Bº BARRANCO,FIAMBALA,Catamarca,279.0
54,IGLESIA CRISTIANA EVANGELICA EN LIBERTAD 65 - ANDALGALA - CATAMARCA - FILIAL 4,PADRON 2071 LOTE 3,HUACHASCHI,Catamarca,1161.0
55,IGLESIA CRISTIANA EVANGELICA EN LIBERTAD 65 - ANDALGALA - CATAMARCA - FILIAL 5,PADRON 2107,HUACHASCHI,Catamarca,1161.0
56,IGLESIA CRISTIANA EVANGELICA EN LIBERTAD 65 - ANDALGALA - CATAMARCA - FILIAL 6,PADRON 2335,HUACHASCHI,Catamarca,1161.0
57,FEDERACION ASAMBLEA CRISTIANA - FILIAL 115,Ruta 62 - Bº 25 de Agosto - Catastro 2290,HUACHASCHI - ANDALGALÁ,Catamarca,64.0
58,IGLESIA CRISTIANA EVANGELICA EN LIBERTAD 65 - ANDALGALA - CATAMARCA - FILIAL 7,PADRON 10219,HUACO,Catamarca,1161.0
59,IGLESIA CRISTIANA EVANGELICA EN ANDALGALA - FILIAL 2,LOTE 13 SECC XLIV / P10219,HUACO ANDALGALA,Catamarca,233.0
60,IGLESIA CRISTIANA PENTECOSTAL DE ARGENTINA - FILIAL 46,CALLEJON EXTREMO NORTE 22,HUILLAPIMA,Catamarca,345.0
